Race,Driver,Stint,Compound,Laps,AvgLapTime,FastestLap
australian,ANT,5.0,HARD,11,0 days 00:01:56.732636363,0 days 00:01:24.901000
australian,ANT,6.0,INTERMEDIATE,13,0 days 00:01:47.164615384,0 days 00:01:28.149000
australian,BEA,1.0,INTERMEDIATE,1,0 days 00:02:29.413000,0 days 00:02:29.413000
australian,BEA,4.0,INTERMEDIATE,34,0 days 00:01:43.284205882,0 days 00:01:31.257000
australian,BEA,5.0,MEDIUM,5,0 days 00:01:40.918400,0 days 00:01:27.603000
australian,BEA,6.0,INTERMEDIATE,13,0 days 00:01:43.034307692,0 days 00:01:30.226000
australian,BOR,1.0,INTERMEDIATE,1,0 days 00:02:24.063000,0 days 00:02:24.063000
australian,BOR,4.0,INTERMEDIATE,29,0 days 00:01:38.856413793,0 days 00:01:29.830000
australian,BOR,5.0,MEDIUM,10,0 days 00:01:50.172700,0 days 00:01:24.192000
australian,BOR,6.0,INTERMEDIATE,1,0 days 00:01:36.255000,0 days 00:01:36.255000
australian,GAS,1.0,INTERMEDIATE,1,0 days 00:02:14.132000,0 days 00:02:14.132000
australian,GAS,4.0,INTERMEDIATE,29,0 days 00:01:37.652068965,0 days 00:01:29.299000
australian,GAS,5.0,HARD,13,0 days 00:01:53.630461538,0 days 00:01:25.020000
australian,GAS,6.0,INTERMEDIATE,11,0 days 00:01:50.979727272,0 days 00:01:30.866000
australian,HAM,1.0,INTERMEDIATE,1,0 days 00:02:12.883000,0 days 00:02:12.883000
australian,HAM,4.0,INTERMEDIATE,29,0 days 00:01:37.627137931,0 days 00:01:29.737000
australian,HAM,5.0,HARD,13,0 days 00:01:52.326846153,0 days 00:01:24.218000
australian,HAM,6.0,INTERMEDIATE,10,0 days 00:01:48.594200,0 days 00:01:29.874000
australian,HUL,1.0,INTERMEDIATE,1,0 days 00:02:21.221000,0 days 00:02:21.221000
australian,HUL,4.0,INTERMEDIATE,29,0 days 00:01:38.674517241,0 days 00:01:30.071000
australian,HUL,5.0,MEDIUM,11,0 days 00:01:53.838181818,0 days 00:01:25.243000
australian,HUL,6.0,INTERMEDIATE,13,0 days 00:01:47.766692307,0 days 00:01:30.360000
australian,LAW,1.0,INTERMEDIATE,1,0 days 00:02:28.795000,0 days 00:02:28.795000
australian,LAW,4.0,INTERMEDIATE,29,0 days 00:01:38.758000,0 days 00:01:30.803000
australian,LAW,5.0,MEDIUM,12,0 days 00:01:45.069083333,0 days 00:01:22.970000
australian,LEC,1.0,INTERMEDIATE,1,0 days 00:02:08.480000,0 days 00:02:08.480000
australian,LEC,4.0,INTERMEDIATE,30,0 days 00:01:37.892966666,0 days 00:01:29.337000
australian,LEC,5.0,HARD,12,0 days 00:01:53.806333333,0 days 00:01:25.271000
australian,LEC,6.0,INTERMEDIATE,10,0 days 00:01:47.753200,0 days 00:01:29.801000
australian,NOR,1.0,INTERMEDIATE,1,0 days 00:01:57.099000,0 days 00:01:57.099000
australian,NOR,4.0,INTERMEDIATE,30,0 days 00:01:36.368566666,0 days 00:01:27.495000
australian,NOR,5.0,HARD,9,0 days 00:01:59.541111111,0 days 00:01:22.167000
australian,NOR,6.0,INTERMEDIATE,13,0 days 00:01:47.513384615,0 days 00:01:27.126000
australian,OCO,1.0,INTERMEDIATE,1,0 days 00:02:25.769000,0 days 00:02:25.769000
australian,OCO,4.0,INTERMEDIATE,34,0 days 00:01:43.309176470,0 days 00:01:31.155000
australian,OCO,5.0,MEDIUM,7,0 days 00:01:39.745857142,0 days 00:01:26.764000
australian,OCO,6.0,INTERMEDIATE,11,0 days 00:01:44.316272727,0 days 00:01:30.924000
australian,PIA,1.0,INTERMEDIATE,1,0 days 00:02:00.807000,0 days 00:02:00.807000
australian,PIA,4.0,INTERMEDIATE,30,0 days 00:01:36.520766666,0 days 00:01:27.916000
australian,PIA,5.0,HARD,8,0 days 00:02:00.257375,0 days 00:01:23.242000
australian,PIA,6.0,INTERMEDIATE,13,0 days 00:01:42.300230769,0 days 00:01:28.559000
australian,RUS,1.0,INTERMEDIATE,1,0 days 00:02:04.644000,0 days 00:02:04.644000
australian,RUS,4.0,INTERMEDIATE,30,0 days 00:01:37.690400,0 days 00:01:29.041000
australian,RUS,5.0,HARD,9,0 days 00:01:55.785222222,0 days 00:01:25.065000
australian,RUS,6.0,INTERMEDIATE,13,0 days 00:01:47.534846153,0 days 00:01:29.117000
australian,STR,1.0,INTERMEDIATE,1,0 days 00:02:19.485000,0 days 00:02:19.485000
australian,STR,4.0,INTERMEDIATE,29,0 days 00:01:38.387655172,0 days 00:01:30.657000
australian,STR,5.0,HARD,11,0 days 00:01:54.559454545,0 days 00:01:25.538000
australian,STR,6.0,INTERMEDIATE,13,0 days 00:01:47.888153846,0 days 00:01:30.323000
australian,TSU,1.0,INTERMEDIATE,1,0 days 00:02:10.655000,0 days 00:02:10.655000
australian,TSU,4.0,INTERMEDIATE,29,0 days 00:01:37.674068965,0 days 00:01:30.031000
australian,TSU,5.0,MEDIUM,13,0 days 00:01:52.876846153,0 days 00:01:24.194000
australian,TSU,6.0,INTERMEDIATE,10,0 days 00:01:48.594000,0 days 00:01:31.511000
australian,VER,1.0,INTERMEDIATE,1,0 days 00:01:59.392000,0 days 00:01:59.392000
australian,VER,4.0,INTERMEDIATE,30,0 days 00:01:37.129900,0 days 00:01:28.046000
australian,VER,5.0,MEDIUM,11,0 days 00:01:52.330454545,0 days 00:01:23.081000
australian,VER,6.0,INTERMEDIATE,11,0 days 00:01:49.832454545,0 days 00:01:27.400000
austrian,ALB,1.0,MEDIUM,13,0 days 00:01:19.520615384,0 days 00:01:10.641000
austrian,ALB,2.0,MEDIUM,2,0 days 00:01:23.230000,0 days 00:01:18.845000
austrian,ALO,1.0,MEDIUM,33,0 days 00:01:15.018636363,0 days 00:01:10.810000
austrian,ALO,2.0,HARD,36,0 days 00:01:10.930972222,0 days 00:01:09.935000
austrian,BEA,1.0,SOFT,11,0 days 00:01:21.367363636,0 days 00:01:10.807000
austrian,BEA,2.0,HARD,28,0 days 00:01:12.179750,0 days 00:01:10.884000
austrian,BEA,3.0,MEDIUM,30,0 days 00:01:11.215766666,0 days 00:01:09.960000
austrian,BOR,1.0,MEDIUM,21,0 days 00:01:16.614047619,0 days 00:01:10.933000
austrian,BOR,2.0,MEDIUM,28,0 days 00:01:11.581678571,0 days 00:01:10.456000
austrian,BOR,3.0,HARD,20,0 days 00:01:10.823150,0 days 00:01:09.247000
austrian,COL,1.0,SOFT,13,0 days 00:01:20.132076923,0 days 00:01:10.842000
austrian,COL,2.0,MEDIUM,26,0 days 00:01:12.617076923,0 days 00:01:10.707000
austrian,COL,3.0,HARD,30,0 days 00:01:11.187466666,0 days 00:01:09.621000
austrian,GAS,1.0,SOFT,12,0 days 00:01:20.453166666,0 days 00:01:10.776000
austrian,GAS,2.0,HARD,26,0 days 00:01:12.407384615,0 days 00:01:10.300000
