Race,Driver,NumBrakingEvents,AvgBrakeDistance,AvgEntrySpeed,AvgExitSpeed,AvgSpeedReduction
abu_dhabi,ALB,408,94.48486034044603,252.74264705882354,120.91976226272435,131.82288479609917
abu_dhabi,ALO,423,87.70576071009403,242.58156028368793,126.97162084241874,115.60993944126923
abu_dhabi,ANT,575,100.19409844950009,257.3530434782609,169.3603939025301,87.99264957573091
abu_dhabi,BEA,436,99.02579812917551,253.07798165137615,123.12583654376719,129.952145107609
abu_dhabi,BOR,433,94.80368345390566,247.66743648960738,118.9605094869261,128.70692700268128
abu_dhabi,COL,410,86.1869421095374,243.13170731707316,126.59056811133713,116.5411392057361
abu_dhabi,GAS,364,108.92927229734227,253.9835164835165,124.691723888666,129.2917925948505
abu_dhabi,HAD,406,95.76712321955442,248.6847290640394,122.42524008952552,126.25948897451386
abu_dhabi,HAM,475,93.43269565947529,243.8,125.30767440059367,118.49232559940634
abu_dhabi,HUL,409,92.45451688219767,253.73349633251834,120.76498578867984,132.96851054383845
abu_dhabi,LAW,378,103.57299454860267,256.4232804232804,123.60266080183838,132.820619621442
abu_dhabi,LEC,439,81.37660470326448,242.03872437357631,122.17341054074566,119.86531383283062
abu_dhabi,NOR,368,93.09555000546057,259.0108695652174,125.4590947390018,133.55177482621556
abu_dhabi,OCO,633,79.26817710444313,231.84518167456557,142.11824254263922,89.7269391319262
abu_dhabi,PIA,352,97.28414378248259,265.05965909090907,124.72102077877534,140.33863831213364
abu_dhabi,RUS,366,101.18327765120628,263.79234972677597,125.5171966459373,138.2751530808386
abu_dhabi,SAI,384,118.27179949520531,269.7135416666667,122.81871373527794,146.89482793138868
abu_dhabi,STR,395,95.3628730679488,256.9341772151899,126.15363051905489,130.780546696135
abu_dhabi,TSU,414,99.82966121976293,253.975845410628,124.6142118139834,129.3616335966446
abu_dhabi,VER,368,92.89314416321565,263.29619565217394,129.21743695990247,134.07875869227144
australian,ALB,913,62.41931363764227,189.94523548740418,129.7138320943801,60.23140339302407
australian,ALO,380,73.86834382187513,205.9657894736842,128.2265822370825,77.73920723660184
australian,ANT,661,68.62584809395932,204.50983358547654,126.89479121246261,77.61504237301395
australian,BEA,879,58.8718737471424,190.73606370875996,129.64400584903842,61.092057859721656
australian,BOR,582,67.26918549343887,199.10996563573883,130.7700179702385,68.33994766550038
australian,DOO,9,53.12582952433161,137.0,79.7900202624553,57.2099797375447
australian,GAS,735,71.04415778196307,191.96190476190475,115.79704365993925,76.16486110196546
australian,HAM,906,73.68771102059256,187.59271523178808,119.9884565723929,67.60425865939517
australian,HUL,665,77.21573786168545,206.61203007518796,122.95521862990681,83.65681144528122
australian,LAW,508,72.91704301046674,204.19094488188978,125.38829329491766,78.80265158697205
australian,LEC,727,76.36657921964596,195.73727647867952,122.13070103939752,73.60657543928198
australian,NOR,670,63.670643189276326,198.69701492537314,127.42595844679106,71.27105647858207
australian,OCO,1034,61.5956365957457,176.77369439071566,122.81607342051794,53.95762097019786
australian,PIA,658,65.1120799354235,199.08662613981764,121.92257085920177,77.16405528061584
australian,RUS,596,75.52065909018262,214.33389261744966,127.38323988880285,86.95065272864674
australian,SAI,13,90.83669046789774,169.15384615384616,99.26924478304883,69.88460137079733
australian,STR,757,69.65661669776296,201.85204755614268,131.06654651177655,70.78550104436606
australian,TSU,787,66.61282878938239,190.93519695044472,120.85039297965714,70.0848039707877
australian,VER,729,73.53151251164213,198.79012345679013,121.34113971548878,77.4489837413013
austrian,ALB,125,84.74353471644275,227.144,133.26368978110023,93.88031021889981
austrian,ALO,507,91.09007795786995,255.16173570019723,150.54745151583649,104.6142841843608
