Race,Driver,FullThrottleRatio,BrakeUsageRatio,AvgBrake,AvgGear,GearChangeRate,AvgSpeed,TopSpeed,DRSUsageRatio
abu_dhabi,ALB,0.4902199867906315,0.17875831936188588,1.0,5.401717217903775,0.07102575826855662,206.71961680599676,341.0,0.08530203729106335
abu_dhabi,ALO,0.5290490266027927,0.17095606971766383,1.0,5.448425236978901,0.07596065640607481,208.13143238281768,345.0,0.06691468759555601
abu_dhabi,ANT,0.4917936991869919,0.2239329268292683,1.0,5.404674796747967,0.06844512195121952,210.44109145738634,341.0,0.18534044715447154
abu_dhabi,BEA,0.5215853875702765,0.191457427052329,1.0,5.310666768424534,0.07158665954361597,207.50905564012612,347.0,0.14943142791727085
abu_dhabi,BOR,0.5164078188149768,0.1909204138176457,1.0,5.302763020767139,0.0711217305101548,207.77497559614196,341.0,0.19125085788363286
abu_dhabi,COL,0.5188531130157259,0.16667953568579003,1.0,5.179059532082465,0.062131624327593754,206.69784233131975,340.0,0.03487504182431215
abu_dhabi,GAS,0.5433012010928399,0.18013815145110573,1.0,5.323212536728698,0.06536419403062013,207.0205431554396,333.0,0.049512861487705555
abu_dhabi,HAD,0.5075339284792817,0.18104649362712213,1.0,5.252180195056504,0.06857939006140668,206.42124152577475,335.0,0.08049950977862635
abu_dhabi,HAM,0.5128433593849444,0.20269341411878516,1.0,5.471169267584838,0.06267661210254322,208.22179799264907,349.0,0.15786257987322114
abu_dhabi,HUL,0.5316346251652935,0.17368528125317872,1.0,5.305640321432204,0.06937239344929305,207.947030247845,346.0,0.17495676940290916
abu_dhabi,LAW,0.5176752700925663,0.18074929737256015,1.0,5.289353582755331,0.06580202666116597,206.9216775378216,337.0,0.09684655648093236
abu_dhabi,LEC,0.5438659608367169,0.17101814257079714,1.0,5.420928200647582,0.07169656164876394,209.94439538731044,332.0,0.06848435010536054
abu_dhabi,NOR,0.4987137271043425,0.1581858407079646,1.0,5.326919119160321,0.07200555669890923,209.85726424188454,331.0,0.0391541469438156
abu_dhabi,OCO,0.5113726089503579,0.22671353251318102,1.0,5.391941112045032,0.0699931229464354,207.68372747851188,343.0,0.181554214105601
abu_dhabi,PIA,0.5124990345750843,0.15711968694488068,1.0,5.434775892696239,0.06909867929871534,210.4957796098626,326.0,0.02123934814509693
abu_dhabi,RUS,0.5247410817031071,0.16550313259174018,1.0,5.469735327963176,0.07428717555299834,209.22015384416372,337.0,0.0667178110216085
abu_dhabi,SAI,0.4956035578144854,0.19880559085133417,1.0,5.4641423125794155,0.06998729351969504,207.3051128828396,343.0,0.11822109275730623
abu_dhabi,STR,0.530766490228013,0.16996640879478828,1.0,5.342401262214984,0.0769035016286645,208.0462575846118,345.0,0.15938008957654723
abu_dhabi,TSU,0.510976725276959,0.1839871938205102,1.0,5.223549141172883,0.0713233052139445,206.9737735053725,339.0,0.1162719788596402
abu_dhabi,VER,0.5326331002090376,0.15344912126764562,1.0,5.42372706392423,0.06983406023381249,210.9226540108403,335.0,0.023381248548349633
australian,ALB,0.31594892880328934,0.25033542523263363,1.0,4.4166847002813245,0.055637307942003895,174.75565357199574,329.0,0.5800692490802857
australian,ALO,0.38503871261575834,0.23075755275542736,1.0,4.65321846060422,0.05727189919538485,174.94181677936007,328.0,0.485653560042508
australian,ANT,0.32743017969257415,0.1990041134444685,1.0,4.404048495345313,0.054232517861008876,175.14618497551785,332.0,0.6328642563325395
australian,BEA,0.3437749100545059,0.22351724583665467,1.0,4.4823448305577696,0.05220070232888812,174.5177581997296,313.0,0.5696619772928022
australian,BOR,0.3476970371548206,0.2211003339163619,1.0,4.434197275666508,0.04929241532835109,173.24436799315006,310.0,0.5187364180844861
australian,DOO,0.052204176334106726,0.4176334106728538,1.0,1.345707656612529,0.025522041763341066,53.39824482644645,260.0,1.0
australian,GAS,0.354761390628374,0.2311163895486936,1.0,4.387367739149211,0.05266681062405528,175.31282954380654,320.0,0.5563809112502699
australian,HAD,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
australian,HAM,0.33737413025627727,0.29882449544059814,1.0,4.530489649509486,0.05661437400060504,175.13222574982748,329.0,0.7057997320541077
australian,HUL,0.33833545959737926,0.21906285813133825,1.0,4.454883560014704,0.05343049278872143,175.16151816698127,316.0,0.5735723398274483
australian,LAW,0.33509124611649216,0.20805158864840875,1.0,4.324595984648722,0.046158264365715476,171.0328047417254,326.0,0.5727227632300342
australian,LEC,0.3514126980695648,0.2398884541386541,1.0,4.361054065154889,0.05622689638772996,175.23102882294853,333.0,0.5722778270174452
australian,NOR,0.34873585151134046,0.18448328201569886,1.0,4.134155861052084,0.05596513291990112,175.44383354827607,322.0,0.5653324081703457
australian,OCO,0.33265750706382247,0.2756077044194724,1.0,4.575092207147941,0.05032029851390117,175.1304563357938,307.0,0.5665509134439101
australian,PIA,0.3276484447614724,0.18987095519097336,1.0,5.391219765255172,0.0664029570066792,175.17308557812925,332.0,0.6405118561269265
australian,RUS,0.33792446292446293,0.1913331600831601,1.0,4.517628205128205,0.053924116424116424,175.1760689370506,308.0,0.5573241510741511
australian,SAI,0.12529002320185614,0.2842227378190255,1.0,3.7180974477958237,0.048723897911832945,142.93415584506855,304.0,1.0
australian,STR,0.3364184849598858,0.22738576649438835,1.0,4.596565966740912,0.0520511212507839,174.77995794837693,326.0,0.5699457215146077
australian,TSU,0.33749838145798267,0.23317795329966767,1.0,4.277008071129527,0.052160214079157496,174.66412701420046,327.0,0.5716690405282921
australian,VER,0.3567046070460705,0.2328888888888889,1.0,4.164661246612466,0.06161517615176152,175.14903552455982,326.0,0.588769647696477
austrian,ALB,0.3990511915269197,0.2161297440423654,1.0,5.0057369814651365,0.07402912621359223,192.95612362936487,321.0,0.43788614298323036
austrian,ALO,0.517532330985175,0.2077594364420145,1.0,5.583272000841132,0.0752286825780675,211.63080030420528,323.0,0.36923036484071076
austrian,ANT,0.5220030349013657,0.7116843702579666,1.0,1.4339908952959028,0.03186646433990895,56.65759194946845,312.0,1.0
austrian,BEA,0.5527266066568977,0.204286162863722,1.0,5.494766589909985,0.07012769520619636,211.01085414071042,325.0,0.18102365501360687
austrian,BOR,0.5605813708999159,0.2104184188393608,1.0,5.500473086627418,0.06854499579478554,211.96742406809489,325.0,0.17278174936921784
austrian,COL,0.5233186314168646,0.19852806848135293,1.0,5.231829214186915,0.059608006889892214,210.5041630530487,321.0,0.1620429574340371
austrian,GAS,0.5330059298346438,0.20493195057600377,1.0,5.391264596013689,0.06619471800632168,210.59319263162135,323.0,0.1654345497766516
austrian,HAD,0.5226339600930987,0.18481131828761213,1.0,5.331337116556395,0.06862104134522347,210.6268177800767,327.0,0.20275111796856612
austrian,HAM,0.5400162104217324,0.2084869401521688,1.0,5.726592935393626,0.07075064710957722,214.18606252232155,320.0,0.08424190132559417
austrian,HUL,0.5496311464650442,0.1837704444619464,1.0,5.477120579664487,0.07188049670525846,212.0638647591799,329.0,0.16360820141240712
austrian,LAW,0.5422537038478503,0.1883448794789964,1.0,5.272956072753691,0.0612334916063413,211.8669512518767,321.0,0.12651462079344075
austrian,LEC,0.5577295824820577,0.19524333385719525,1.0,5.566687621143067,0.07768872125307769,214.25368168042704,324.0,0.09691445335009692
austrian,NOR,0.5520704614171158,0.18635467332719863,1.0,5.328355462074406,0.07550939923754436,215.16403140028766,324.0,0.08749835677665309
austrian,OCO,0.5466950064289275,0.23044425201395996,1.0,5.529848592196069,0.07494292686766905,211.5738326236113,324.0,0.1748930698785064
austrian,PIA,0.5403253357159751,0.18731768848711008,1.0,5.435156229469424,0.08346253909021628,214.97173622264174,330.0,0.19538538354400442
austrian,RUS,0.5241397221140112,0.1936371899753279,1.0,5.5019607843137255,0.08372938579405272,212.21880507498253,328.0,0.1141669912998312
austrian,STR,0.5381541836414917,0.19612451687036456,1.0,5.572547790661234,0.07296563250809568,210.40281482097598,322.0,0.16737177478324455
austrian,TSU,0.5050454617123036,0.2063646397224996,1.0,5.2265464865717135,0.06722026593787775,208.68798444898843,327.0,0.20431492090187628
austrian,VER,0.2291350531107739,0.18664643399089528,1.0,2.6980273141122915,0.028831562974203338,54.152045445143195,320.0,1.0
azerbaijan,ALB,0.4747319699617437,0.24635148538232654,1.0,4.873518159920653,0.07733906390213952,192.19395992886996,357.0,0.1977046238133472
azerbaijan,ALO,0.4927143899625715,0.22953791106612367,1.0,4.7460276358842775,0.0902285727737106,191.2685290899568,349.0,0.1609425390174431
azerbaijan,ANT,0.49074998811052456,0.2217387168878109,1.0,4.759285680315784,0.0751177058068198,193.00799861035358,348.0,0.1791506158748276
azerbaijan,BEA,0.49874982308817284,0.2442090861914422,1.0,4.836274001037883,0.07376043779780157,192.00913058850603,361.0,0.21175166297117518
azerbaijan,BOR,0.5070774747570067,0.24709823534962724,1.0,4.85573747286968,0.07490327451165424,192.3981273407617,357.0,0.16046994432386524
azerbaijan,COL,0.48327412317302876,0.22383824896878948,1.0,4.664481056722539,0.060632793686368945,190.29327813036025,344.0,0.14625306978851244
azerbaijan,GAS,0.5014431219139852,0.22376738305941846,1.0,4.720630680056294,0.06795792285857405,190.29147657757466,353.0,0.19526274360136442
azerbaijan,HAD,0.5123663180858884,0.2079153920940931,1.0,4.819520523582557,0.06717886699390577,192.8061918796395,337.0,0.14085508999075194
azerbaijan,HAM,0.4901188583900738,0.25441863775473894,1.0,4.987876918697065,0.07399587198405731,193.50491160272688,352.0,0.16775402718796706
azerbaijan,HUL,0.5068248140826509,0.22959615927704038,1.0,4.856208227431046,0.07166054786783395,192.1702446316333,350.0,0.22881954250211806
azerbaijan,LAW,0.49279627827490446,0.2274097457928841,1.0,4.8109230732714625,0.06173601386152714,193.16834901317793,342.0,0.14331489876812797
azerbaijan,LEC,0.5113746886490333,0.2462815798837623,1.0,4.927576799905112,0.07161665282884593,193.34156665304545,346.0,0.19219546910212312
azerbaijan,NOR,0.4984455466691981,0.2173624130811401,1.0,4.764221468068444,0.06822982177183948,193.6319143956441,354.0,0.2022213256757719
azerbaijan,OCO,0.47986814221803625,0.2551683541323287,1.0,4.9254768071579935,0.07216858959265364,191.82537458111864,350.0,0.17833765010595715
azerbaijan,PIA,0.5964912280701754,0.6274509803921569,1.0,1.411764705882353,0.03611971104231166,58.730285992485875,317.0,1.0
azerbaijan,RUS,0.5056423197790687,0.21586039424816683,1.0,4.92467384058661,0.07830206646986002,193.4947426209667,350.0,0.17138843919626703
azerbaijan,SAI,0.4892118847681804,0.24506981944477485,1.0,5.071912838689726,0.07295953564716798,193.8748212983707,328.0,0.13416751909032518
azerbaijan,STR,0.5043410925474,0.226041862211376,1.0,4.794302609348602,0.0827388774169326,190.73543416638492,346.0,0.16531349727801764
azerbaijan,TSU,0.49265456271508246,0.22368577192357897,1.0,4.765966536133855,0.06619200189865908,193.46952582474086,346.0,0.1679126616826866
azerbaijan,VER,0.5126626089032104,0.22024107888769542,1.0,4.783243823845328,0.06647571309225445,194.500493062948,329.0,0.1345267931734097
bahrain,ALB,0.39087424544974636,0.23367531960797816,1.0,5.0595377447267555,0.06699717689182676,189.50310181010224,338.0,0.22979641488214098
bahrain,ALO,0.434803528468324,0.21280788177339902,1.0,5.012235078474052,0.07604536602130828,189.4512414742284,335.0,0.20730897009966778
bahrain,ANT,0.41079790652832615,0.22181158754935268,1.0,4.914195207051694,0.07042512166008631,189.2682908981456,341.0,0.2957946928656689
bahrain,BEA,0.4460973370064279,0.22665289256198348,1.0,4.954706152433425,0.06827364554637282,190.12150167512334,337.0,0.23604224058769513
bahrain,BOR,0.4278390625715201,0.25378770540577655,1.0,4.960154712317481,0.07145145786606857,189.46825350716912,339.0,0.2462809539067149
bahrain,DOO,0.4369809589355357,0.2108281715989906,1.0,4.868800183528332,0.07286074787795366,189.3384504079273,328.0,0.20286763019041065
bahrain,GAS,0.46679085598638514,0.22331079527160663,1.0,4.8836300078193275,0.06439446207626144,190.42255906758268,332.0,0.16809254404121246
bahrain,HAD,0.4218864636830521,0.22819607483492296,1.0,4.843497798972854,0.06479273661041819,189.56066270748934,335.0,0.18323550990462215
bahrain,HAM,0.4374078850405306,0.2334653647752395,1.0,5.077975313190862,0.06761238025055269,190.75315161828289,337.0,0.19148397199705233
bahrain,HUL,0.4509817414441692,0.22024956418020003,1.0,5.042366272135058,0.06390494540783558,189.9617697515494,342.0,0.1886640976236352
