Race,Driver,RepresentativePace,RelativePace,FastestLapDelta,PaceStdDev
abu_dhabi,VER,88.464,0.98589650003622,0.9000000000000057,2.801133974689917
abu_dhabi,PIA,89.28,0.9949904992226637,0.04000000000000625,2.8103736413388605
abu_dhabi,NOR,88.4045,0.985233395928875,0.09300000000000352,4.021385614791924
abu_dhabi,LEC,88.622,0.9876573479179088,0.0,4.000870197238123
abu_dhabi,RUS,89.402,0.9963501412578918,1.8740000000000094,2.791247115063493
abu_dhabi,ALO,89.9755,1.0027415732841485,1.554000000000002,2.95959218267987
abu_dhabi,OCO,89.709,0.9997715355596544,1.9300000000000068,2.8993262461282625
abu_dhabi,HAM,89.49199999999999,0.9973531558740435,1.3689999999999998,3.808569428175322
abu_dhabi,HUL,89.7145,0.999832830897308,0.32500000000000284,3.847041975699631
abu_dhabi,STR,90.0035,1.0030536222758402,0.9010000000000105,3.0524147480827977
abu_dhabi,BOR,90.0885,1.0040009138577612,2.38900000000001,2.7210951164538284
abu_dhabi,BEA,89.8015,1.0008024116929215,2.2510000000000048,2.9662042153851136
abu_dhabi,SAI,89.906,1.0019670231083424,2.3270000000000124,2.892089346469311
abu_dhabi,TSU,90.10300000000001,1.0041625106570304,1.8320000000000078,3.517588395833791
abu_dhabi,ANT,90.1645,1.0048479039780673,1.304000000000002,3.24778343939486
abu_dhabi,ALB,89.813,1.0009305746716521,1.6420000000000101,3.87415856703631
abu_dhabi,HAD,90.197,1.0052101037005667,2.6500000000000057,2.84108419717078
abu_dhabi,LAW,89.814,1.000941719278498,2.1610000000000014,3.9568747420547408
abu_dhabi,GAS,89.955,1.0025131088438026,1.0420000000000016,4.315788386304804
abu_dhabi,COL,89.852,1.001365214338651,0.9849999999999994,4.313972926479837
australian,VER,90.7655,0.9879775770109938,0.9140000000000015,4.584655792844123
australian,GAS,92.34100000000001,1.0051268096222925,2.8529999999999944,4.7993903783256755
australian,ANT,91.309,0.9938935452269511,2.7339999999999947,2.8712525406878466
australian,ALO,92.521,1.0070860999238054,6.652000000000001,2.2654822834590136
australian,LEC,91.355,0.9943942527484488,3.103999999999999,2.5674304389454305
australian,STR,92.3715,1.0054588004789375,3.370999999999995,2.4048771043047656
australian,TSU,92.07249999999999,1.002204201589202,2.027000000000001,2.9683300658247456
australian,ALB,91.9765,1.0011592467617285,2.4299999999999926,2.4657783838626752
australian,HUL,92.61699999999999,1.0081310547512787,3.0759999999999934,2.6407385075805787
australian,LAW,93.4995,1.0177370197017523,0.8029999999999973,3.670155865633274
australian,OCO,93.5295,1.0180635680853378,4.596999999999994,2.664472782497386
australian,NOR,89.952,0.9791226733427669,0.0,2.581869060137923
australian,HAM,92.21,1.0037008816806356,2.051000000000002,2.689111163281439
australian,BOR,93.328,1.0158702514422553,2.0249999999999915,3.187693836349721
australian,RUS,91.078,0.9913791226733427,2.897999999999996,2.2998943337736333
australian,PIA,90.143,0.9812016980515946,1.0750000000000028,3.007689638746859
australian,BEA,93.395,1.016599542832263,5.435999999999993,2.9707008445105605
austrian,NOR,69.661,0.9841904492794574,0.347999999999999,3.1361751693382645
austrian,PIA,69.6755,0.9843953094094376,0.0,3.222948469718611
austrian,LEC,69.8505,0.9868677592540265,0.840999999999994,3.1787171004817503
austrian,HAM,70.17150000000001,0.9914029386832439,0.7039999999999935,2.988462713265483
austrian,RUS,70.5885,0.9972944334557784,1.4479999999999933,3.031004697915838
austrian,LAW,70.824,1.0006216445323537,2.0529999999999973,2.421186625601312
austrian,ALO,70.966,1.0026278609776773,2.0109999999999957,2.311364835417345
austrian,BOR,70.872,1.0012998022040125,1.3229999999999933,3.339023125150297
austrian,HUL,70.861,1.0011443910709241,1.5349999999999966,3.007306868439192
austrian,OCO,70.815,1.0004944899689177,1.6259999999999906,3.2330818481038275
austrian,BEA,71.19,1.005792596778751,2.035999999999987,3.088819171002707
austrian,HAD,71.381,1.0084910991805596,2.279999999999987,2.2757012949097355
austrian,GAS,71.146,1.0051709522463972,2.2269999999999897,3.2434142962494605
austrian,STR,71.083,1.0042808703023454,1.289999999999992,3.300473772663323
austrian,COL,71.068,1.004068946029952,1.6969999999999885,3.240258473857271
austrian,TSU,70.9175,1.0019426391636055,1.8780000000000001,5.364072210949048
austrian,ALB,71.35849999999999,1.0081732127719694,2.7169999999999987,5.019050353101639
azerbaijan,VER,104.9885,0.9897992372997205,0.0,2.7056657228304823
azerbaijan,RUS,105.277,0.9925191264300631,0.36599999999999966,2.6527874222070107
azerbaijan,SAI,105.362,0.9933204802466284,0.583999999999989,2.886817037111737
azerbaijan,ANT,105.197,0.9917649110732957,0.7029999999999887,1.1135914845502821
azerbaijan,LAW,105.607,0.9956302647767287,1.1430000000000007,2.9157267167589107
azerbaijan,TSU,105.617,0.9957245416963247,1.0459999999999923,2.9436517276860714
azerbaijan,NOR,105.4905,0.9945319386634361,0.7669999999999959,2.8550174204250025
azerbaijan,HAM,105.9055,0.9984444308266672,0.5889999999999986,2.7891613692583674
azerbaijan,LEC,105.605,0.9956114093928096,0.8859999999999957,2.885293961581688
azerbaijan,HAD,106.1645,1.0008862030442018,0.4959999999999951,3.108042645229727
azerbaijan,BOR,106.628,1.005255938267473,1.5420000000000016,2.9988236836682125
azerbaijan,BEA,106.56649999999999,1.004676135211958,0.8999999999999915,3.2337950374258937
azerbaijan,ALB,105.719,0.9966861662762031,0.7639999999999958,3.138486304715017
azerbaijan,OCO,107.0395,1.0091354335088456,2.0,1.5566858335435514
azerbaijan,ALO,106.471,1.003775790629817,1.61399999999999,3.6939979129483547
azerbaijan,HUL,107.08449999999999,1.0095596796470272,0.9819999999999993,2.8943988771308926
azerbaijan,STR,107.077,1.0094889719573303,1.6949999999999932,3.158767569083997
azerbaijan,GAS,107.26,1.0112142395859358,2.103999999999999,3.0503391331526615
azerbaijan,COL,106.845,1.0073017474227048,2.6670000000000016,1.2924643359879082
bahrain,PIA,97.556,0.990134784020786,0.0,3.1808167210737572
bahrain,RUS,97.841,0.9930273627801235,0.3780000000000001,2.892758821007498
bahrain,NOR,97.861,0.993230350763235,0.5879999999999939,3.6219622895000203
bahrain,LEC,97.666,0.9912512179278987,0.9920000000000044,2.980080814281999
bahrain,HAM,98.01,0.9947426112374149,1.0949999999999989,3.0536567207079
bahrain,VER,98.398,0.998680578109776,1.027000000000001,4.421099386897381
bahrain,GAS,98.204,0.9967115946735954,1.3910000000000053,4.005147405099437
bahrain,OCO,98.4,0.9987008769080872,1.9579999999999984,4.017837788979119
bahrain,TSU,98.565,1.000375527768756,2.0849999999999937,3.2906123697238163
bahrain,BEA,98.643,1.0011671809028906,2.1629999999999967,2.92710418998745
bahrain,ANT,98.564,1.0003653783696005,1.5499999999999972,4.1690358224269595
bahrain,ALB,98.698,1.0017253978564469,2.0010000000000048,3.2175461798470706
bahrain,HAD,98.849,1.0032579571289382,1.8119999999999976,4.0715032877914235
bahrain,DOO,98.714,1.001887788242936,1.5420000000000016,3.9356363332509803
bahrain,ALO,98.702,1.0017659954530693,2.7660000000000053,2.9546226727970994
bahrain,LAW,99.035,1.005145745371874,2.239999999999995,3.4464068321913675
bahrain,STR,99.226,1.007084280610588,2.9239999999999924,2.9448728545002947
bahrain,BOR,99.265,1.0074801071776551,2.8659999999999997,3.127323020229796
bahrain,SAI,99.212,1.00694218902241,1.813999999999993,6.044806402011967
bahrain,HUL,99.119,1.005998294900942,2.1979999999999933,4.0755787500722676
belgian,PIA,106.492,0.9871613040777923,0.8449999999999989,6.813129679391486
belgian,NOR,106.487,0.9871149549950406,0.3960000000000008,7.066990441255377
belgian,LEC,106.8195,0.9901971689980256,1.3130000000000024,7.632670037915455
belgian,VER,106.845,0.990433549320059,1.2349999999999994,7.66088253334716
