Race,Driver,Stint,PitLap,Compound
são_paulo,STR,2.0,29,MEDIUM
são_paulo,STR,3.0,54,MEDIUM
são_paulo,TSU,2.0,2,MEDIUM
são_paulo,TSU,3.0,24,MEDIUM
são_paulo,TSU,4.0,47,MEDIUM
são_paulo,VER,2.0,7,MEDIUM
são_paulo,VER,3.0,34,MEDIUM
são_paulo,VER,4.0,54,SOFT
united_states,ALB,2.0,7,MEDIUM
united_states,ALB,3.0,36,SOFT
united_states,ALO,2.0,30,SOFT
united_states,ANT,2.0,31,SOFT
united_states,BEA,2.0,30,SOFT
united_states,BOR,2.0,14,MEDIUM
united_states,BOR,3.0,36,SOFT
united_states,COL,2.0,32,SOFT
united_states,GAS,2.0,27,SOFT
united_states,HAD,2.0,28,SOFT
united_states,HAM,2.0,31,SOFT
united_states,HUL,2.0,33,SOFT
united_states,LAW,2.0,30,SOFT
united_states,LEC,2.0,22,MEDIUM
united_states,NOR,2.0,32,SOFT
united_states,OCO,2.0,24,MEDIUM
united_states,PIA,2.0,30,SOFT
united_states,RUS,2.0,33,SOFT
united_states,STR,2.0,28,MEDIUM
united_states,TSU,2.0,29,SOFT
united_states,VER,2.0,33,SOFT
