Race,Driver,AvgBrakeDistance,AvgEntrySpeed,AvgExitSpeed,AvgSpeedReduction,FullThrottleRatio,BrakeUsageRatio,GearChangeRate,DRSUsageRatio
abu_dhabi,ALB,94.48486034044603,252.74264705882356,120.91976226272436,131.82288479609915,0.4902199867906315,0.1787583193618858,0.0710257582685566,0.0853020372910633
abu_dhabi,ALO,87.70576071009403,242.58156028368796,126.97162084241874,115.60993944126923,0.5290490266027927,0.1709560697176638,0.0759606564060748,0.066914687595556
abu_dhabi,ANT,100.19409844950007,257.3530434782609,169.3603939025301,87.99264957573091,0.4917936991869919,0.2239329268292683,0.0684451219512195,0.1853404471544715
abu_dhabi,BEA,99.02579812917551,253.07798165137612,123.1258365437672,129.952145107609,0.5215853875702765,0.191457427052329,0.0715866595436159,0.1494314279172708
abu_dhabi,BOR,94.80368345390566,247.66743648960735,118.9605094869261,128.70692700268128,0.5164078188149768,0.1909204138176457,0.0711217305101548,0.1912508578836328
abu_dhabi,COL,86.1869421095374,243.1317073170732,126.59056811133712,116.5411392057361,0.5188531130157259,0.16667953568579,0.0621316243275937,0.0348750418243121
abu_dhabi,GAS,108.92927229734228,253.9835164835165,124.691723888666,129.2917925948505,0.5433012010928399,0.1801381514511057,0.0653641940306201,0.0495128614877055
abu_dhabi,HAD,95.76712321955442,248.6847290640394,122.42524008952552,126.25948897451386,0.5075339284792817,0.1810464936271221,0.0685793900614066,0.0804995097786263
abu_dhabi,HAM,93.43269565947529,243.8,125.30767440059368,118.49232559940634,0.5128433593849444,0.2026934141187851,0.0626766121025432,0.1578625798732211
abu_dhabi,HUL,92.45451688219768,253.73349633251837,120.76498578867984,132.96851054383845,0.5316346251652935,0.1736852812531787,0.069372393449293,0.1749567694029091
abu_dhabi,LAW,103.57299454860268,256.4232804232804,123.60266080183838,132.820619621442,0.5176752700925663,0.1807492973725601,0.0658020266611659,0.0968465564809323
abu_dhabi,LEC,81.37660470326448,242.03872437357631,122.17341054074566,119.86531383283062,0.5438659608367169,0.1710181425707971,0.0716965616487639,0.0684843501053605
abu_dhabi,NOR,93.09555000546057,259.0108695652174,125.4590947390018,133.55177482621556,0.4987137271043425,0.1581858407079646,0.0720055566989092,0.0391541469438156
abu_dhabi,OCO,79.26817710444313,231.8451816745656,142.11824254263922,89.7269391319262,0.5113726089503579,0.226713532513181,0.0699931229464354,0.181554214105601
abu_dhabi,PIA,97.2841437824826,265.05965909090907,124.72102077877534,140.33863831213364,0.5124990345750843,0.1571196869448806,0.0690986792987153,0.0212393481450969
abu_dhabi,RUS,101.18327765120628,263.792349726776,125.5171966459373,138.2751530808386,0.5247410817031071,0.1655031325917401,0.0742871755529983,0.0667178110216085
abu_dhabi,SAI,118.27179949520531,269.7135416666667,122.81871373527794,146.89482793138868,0.4956035578144854,0.1988055908513341,0.069987293519695,0.1182210927573062
abu_dhabi,STR,95.3628730679488,256.9341772151899,126.15363051905489,130.780546696135,0.530766490228013,0.1699664087947882,0.0769035016286645,0.1593800895765472
abu_dhabi,TSU,99.82966121976293,253.975845410628,124.6142118139834,129.3616335966446,0.510976725276959,0.1839871938205102,0.0713233052139445,0.1162719788596402
abu_dhabi,VER,92.89314416321564,263.29619565217394,129.21743695990247,134.07875869227144,0.5326331002090376,0.1534491212676456,0.0698340602338124,0.0233812485483496
australian,ALB,62.41931363764227,189.94523548740415,129.7138320943801,60.23140339302407,0.3159489288032893,0.2503354252326336,0.0556373079420038,0.5800692490802857
australian,ALO,73.86834382187513,205.9657894736842,128.2265822370825,77.73920723660184,0.3850387126157583,0.2307575527554273,0.0572718991953848,0.485653560042508
australian,ANT,68.62584809395932,204.5098335854765,126.8947912124626,77.61504237301395,0.3274301796925741,0.1990041134444685,0.0542325178610088,0.6328642563325395
australian,BEA,58.8718737471424,190.73606370876,129.64400584903842,61.092057859721656,0.3437749100545059,0.2235172458366546,0.0522007023288881,0.5696619772928022
australian,BOR,67.26918549343887,199.10996563573883,130.7700179702385,68.33994766550038,0.3476970371548206,0.2211003339163619,0.049292415328351,0.5187364180844861
australian,DOO,53.12582952433161,137.0,79.7900202624553,57.2099797375447,0.0522041763341067,0.4176334106728538,0.025522041763341,1.0
australian,GAS,71.04415778196307,191.96190476190475,115.79704365993923,76.16486110196546,0.354761390628374,0.2311163895486936,0.0526668106240552,0.5563809112502699
australian,HAM,73.68771102059256,187.59271523178808,119.9884565723929,67.60425865939517,0.3373741302562772,0.2988244954405981,0.056614374000605,0.7057997320541077
