Round,Race,Abbreviation,TeamName,Position,Points,CumulativePoints,ChampionshipPosition
15,las_vegas,TSU,Red Bull Racing,12.0,0.0,13.0,19.0
16,mexico_city,TSU,Red Bull Racing,11.0,0.0,13.0,19.0
17,miami,TSU,Red Bull Racing,10.0,1.0,14.0,19.0
18,monaco,TSU,Red Bull Racing,17.0,0.0,14.0,19.0
19,qatar,TSU,Red Bull Racing,10.0,1.0,15.0,18.0
20,saudi_arabian,TSU,Red Bull Racing,19.0,0.0,15.0,18.0
21,singapore,TSU,Red Bull Racing,12.0,0.0,15.0,18.0
22,spanish,TSU,Red Bull Racing,13.0,0.0,15.0,18.0
23,são_paulo,TSU,Red Bull Racing,17.0,0.0,15.0,19.0
24,united_states,TSU,Red Bull Racing,7.0,6.0,21.0,17.0
1,abu_dhabi,VER,Red Bull Racing,1.0,25.0,25.0,1.0
2,australian,VER,Red Bull Racing,2.0,18.0,43.0,1.0
3,austrian,VER,Red Bull Racing,18.0,0.0,43.0,2.0
4,azerbaijan,VER,Red Bull Racing,1.0,25.0,68.0,2.0
5,bahrain,VER,Red Bull Racing,6.0,8.0,76.0,2.0
6,belgian,VER,Red Bull Racing,4.0,12.0,88.0,2.0
7,british,VER,Red Bull Racing,5.0,10.0,98.0,3.0
8,canadian,VER,Red Bull Racing,2.0,18.0,116.0,3.0
9,chinese,VER,Red Bull Racing,4.0,12.0,128.0,3.0
10,dutch,VER,Red Bull Racing,2.0,18.0,146.0,3.0
11,emilia_romagna,VER,Red Bull Racing,1.0,25.0,171.0,2.0
12,hungarian,VER,Red Bull Racing,9.0,2.0,173.0,3.0
13,italian,VER,Red Bull Racing,1.0,25.0,198.0,3.0
14,japanese,VER,Red Bull Racing,1.0,25.0,223.0,3.0
15,las_vegas,VER,Red Bull Racing,1.0,25.0,248.0,1.0
16,mexico_city,VER,Red Bull Racing,3.0,15.0,263.0,1.0
17,miami,VER,Red Bull Racing,4.0,12.0,275.0,1.0
18,monaco,VER,Red Bull Racing,4.0,12.0,287.0,2.0
19,qatar,VER,Red Bull Racing,1.0,25.0,312.0,1.0
20,saudi_arabian,VER,Red Bull Racing,2.0,18.0,330.0,1.0
21,singapore,VER,Red Bull Racing,2.0,18.0,348.0,1.0
22,spanish,VER,Red Bull Racing,10.0,1.0,349.0,3.0
23,são_paulo,VER,Red Bull Racing,3.0,15.0,364.0,3.0
24,united_states,VER,Red Bull Racing,1.0,25.0,389.0,2.0
