Race,Driver,Compound,Stint,StintLength,AvgPace,FirstThreeAvg,LastThreeAvg,PaceDropoff,DegradationRate
abu_dhabi,ALB,SOFT,1.0,8,91.937,93.89699999999999,90.87233333333334,-3.024666666666647,-0.3780833333333309
abu_dhabi,ALB,HARD,2.0,25,90.98788,96.18033333333334,90.88,-5.300333333333342,-0.21201333333333366
abu_dhabi,ALB,MEDIUM,3.0,25,89.70412,95.30133333333333,89.13999999999999,-6.161333333333346,-0.24645333333333383
abu_dhabi,ALO,MEDIUM,1.0,16,90.5725625,91.81166666666667,90.677,-1.1346666666666607,-0.0709166666666663
abu_dhabi,ALO,HARD,2.0,42,90.1397619047619,97.11766666666665,89.04633333333334,-8.071333333333314,-0.19217460317460272
abu_dhabi,ANT,HARD,1.0,32,91.18765625,94.31099999999999,91.67333333333333,-2.637666666666661,-0.08242708333333315
abu_dhabi,ANT,MEDIUM,2.0,26,89.76396153846153,95.69066666666667,89.69200000000001,-5.998666666666665,-0.23071794871794865
abu_dhabi,BEA,MEDIUM,1.0,14,91.33385714285714,93.293,91.58166666666666,-1.711333333333343,-0.12223809523809592
abu_dhabi,BEA,HARD,2.0,44,90.11275000000002,96.45833333333333,89.81533333333334,-6.6429999999999865,-0.15097727272727243
abu_dhabi,BOR,MEDIUM,1.0,15,90.73813333333334,92.24466666666667,90.77833333333332,-1.4663333333333526,-0.09775555555555684
abu_dhabi,BOR,HARD,2.0,43,90.40558139534883,96.72500000000001,90.03766666666667,-6.687333333333342,-0.15551937984496145
abu_dhabi,COL,MEDIUM,1.0,15,91.91440000000001,95.01666666666667,91.85366666666668,-3.1629999999999825,-0.2108666666666655
abu_dhabi,COL,HARD,2.0,25,91.03084000000001,97.02133333333332,92.12333333333333,-4.897999999999982,-0.1959199999999993
abu_dhabi,COL,MEDIUM,3.0,17,89.82264705882352,95.342,89.408,-5.9339999999999975,-0.34905882352941164
abu_dhabi,GAS,MEDIUM,1.0,13,91.94023076923077,94.71833333333332,92.15500000000002,-2.563333333333304,-0.19717948717948494
abu_dhabi,GAS,HARD,2.0,27,90.8437777777778,96.97666666666665,91.01899999999999,-5.957666666666654,-0.22065432098765386
abu_dhabi,GAS,MEDIUM,3.0,17,89.7865882352941,95.72066666666666,89.20800000000001,-6.512666666666647,-0.3830980392156851
abu_dhabi,HAD,MEDIUM,1.0,14,91.06357142857144,92.43733333333334,91.48533333333334,-0.9519999999999982,-0.06799999999999987
abu_dhabi,HAD,HARD,2.0,43,90.5559534883721,96.742,90.00966666666666,-6.732333333333344,-0.15656589147286845
abu_dhabi,HAM,SOFT,1.0,8,91.80687499999999,93.43366666666667,91.01400000000001,-2.4196666666666573,-0.30245833333333216
abu_dhabi,HAM,HARD,2.0,23,90.68891304347825,95.34633333333333,90.354,-4.992333333333335,-0.2170579710144928
abu_dhabi,HAM,MEDIUM,3.0,27,89.62366666666667,95.51966666666665,89.38533333333334,-6.134333333333316,-0.2271975308641969
abu_dhabi,HUL,SOFT,1.0,7,92.413,94.43833333333333,91.00099999999999,-3.437333333333342,-0.4910476190476203
abu_dhabi,HUL,HARD,2.0,35,90.59914285714285,95.32233333333333,90.78066666666666,-4.541666666666671,-0.12976190476190488
abu_dhabi,HUL,MEDIUM,3.0,16,89.28887499999999,94.01400000000001,88.77733333333333,-5.236666666666679,-0.3272916666666674
abu_dhabi,LAW,MEDIUM,1.0,21,91.4724761904762,93.098,93.17066666666666,0.0726666666666631,0.003460317460317291
abu_dhabi,LAW,HARD,2.0,36,90.31127777777778,98.948,89.139,-9.808999999999997,-0.27247222222222217
abu_dhabi,LEC,MEDIUM,1.0,16,90.2901875,91.464,90.68066666666668,-0.7833333333333172,-0.04895833333333233
abu_dhabi,LEC,HARD,2.0,23,89.69130434782609,96.53899999999999,88.91366666666666,-7.62533333333333,-0.33153623188405784
abu_dhabi,LEC,MEDIUM,3.0,19,88.58973684210525,94.52366666666667,87.96733333333334,-6.556333333333328,-0.3450701754385962
abu_dhabi,NOR,MEDIUM,1.0,16,90.14337499999999,91.235,90.45766666666667,-0.7773333333333312,-0.0485833333333332
abu_dhabi,NOR,HARD,2.0,24,89.45920833333332,96.65266666666666,88.71166666666666,-7.9410000000000025,-0.3308750000000001
abu_dhabi,NOR,HARD,3.0,18,88.59588888888888,94.762,88.54933333333334,-6.212666666666664,-0.345148148148148
abu_dhabi,OCO,MEDIUM,1.0,19,91.06157894736842,92.62666666666667,91.67466666666667,-0.9519999999999982,-0.05010526315789464
abu_dhabi,OCO,HARD,2.0,39,89.9275641025641,95.76533333333333,88.72466666666666,-7.040666666666667,-0.18052991452991454
abu_dhabi,PIA,HARD,1.0,41,89.57778048780489,90.74833333333333,90.45700000000001,-0.291333333333327,-0.007105691056910415
abu_dhabi,PIA,MEDIUM,2.0,17,88.66905882352941,94.16699999999999,88.15933333333334,-6.007666666666651,-0.35339215686274417
abu_dhabi,RUS,MEDIUM,1.0,14,90.55557142857141,92.04966666666667,90.74533333333333,-1.3043333333333322,-0.09316666666666659
abu_dhabi,RUS,HARD,2.0,44,89.73304545454546,96.04533333333332,88.76233333333333,-7.282999999999987,-0.165522727272727
abu_dhabi,SAI,MEDIUM,1.0,18,91.40522222222222,93.70433333333334,92.18533333333335,-1.5189999999999912,-0.0843888888888884
abu_dhabi,SAI,HARD,2.0,40,90.108325,95.90533333333333,90.07166666666666,-5.833666666666673,-0.1458416666666668
abu_dhabi,STR,HARD,1.0,42,90.72623809523809,94.07033333333334,90.87666666666667,-3.1936666666666724,-0.07603968253968267
abu_dhabi,STR,MEDIUM,2.0,16,89.46812499999999,94.93599999999999,88.36333333333333,-6.572666666666663,-0.41079166666666644
abu_dhabi,TSU,HARD,1.0,32,90.80821875000001,92.87933333333332,90.87,-2.0093333333333163,-0.06279166666666613
abu_dhabi,TSU,MEDIUM,2.0,26,90.20769230769231,97.52533333333334,89.75466666666667,-7.770666666666671,-0.29887179487179505
